03F | 00458A3D | 8B80 3E4C1500            | mov eax,dword ptr ds:[eax+154C3E]       | eax: 40129E-> 4EC2EA4                             | 00555EDC: 4EC2EA4-> 4EC2EA4       | eax:&"\n\n", eax+154C3E:"t-ms-win-core-container-init-l1-1-0.dll"
040 | 00458A43 | E9 3702FBFF              | jmp sample.vmp.408C7F                   |                                                   |                                   |
041 | 00408C7F | 8D80 CC421E72            | lea eax,dword ptr ds:[eax+721E42CC]     | eax: 4EC2EA4-> 770A7170                           |                                   | eax:&"\n\n"
042 | 00408C85 | E9 764F1900              | jmp sample.vmp.59DC00                   |                                                   |                                   |
043 | 0059DC00 | 870424                   | xchg dword ptr ss:[esp],eax             | eax: 770A7170-> 19FF28                            | 0019FEFC: 19FF28-> 770A7170       | [esp]:&"\n\n"
044 | 0059DC03 | E9 FF7AEBFF              | jmp sample.vmp.455707                   |                                                   |                                   |
045 | 00455707 | C3                       | ret                                     | esp: 19FEFC-> 19FF00                              | 0019FEFC: 770A7170-> 770A7170     |
046 | 770A7170 | 8BFF                     | mov edi,edi                             |                                                   |                                   |
047 | 770A7172 | 55                       | push ebp                                | esp: 19FF00-> 19FEFC                              | 0019FEFC: 40114E-> 19FF1C         |
048 | 770A7173 | 8BEC                     | mov ebp,esp                             | ebp: 19FF1C-> 19FEFC                              |                                   |
049 | 770A7175 | 6B45 08 38               | imul eax,dword ptr ss:[ebp+8],38        | eax: 19FF28-> 38 eflags: 206-> 202                | 0019FF04: 1-> 1                   | [ebp+08]:"%s"
04A | 770A7179 | 05 F0021977              | add eax,ucrtbase.771902F0               | eax: 38-> 77190328 eflags: 202-> 206              |                                   | eax:&"\n\n", 771902F0:&"\n\n"
04B | 770A717E | 5D                       | pop ebp                                 | esp: 19FEFC-> 19FF00 ebp: 19FEFC-> 19FF1C         | 0019FEFC: 19FF1C-> 19FF1C         |
04C | 770A717F | C3                       | ret                                     | esp: 19FF00-> 19FF04                              | 0019FF00: 40114E-> 40114E         |
04D | 0040114E | 83C4 04                  | add esp,4                               | esp: 19FF04-> 19FF08 eflags: 206-> 202            |                                   |
04E | 00401151 | 50                       | push eax                                | esp: 19FF08-> 19FF04                              | 0019FF04: 402104-> 77190328       | eax:&"\n\n"
04F | 00401152 | E8 19FFFFFF              | call <sample.vmp.__vfprintf_l>          | esp: 19FF04-> 19FF00                              | 0019FF00: 77190328-> 401157       |
050 | 00401070 | 55                       | push ebp                                | esp: 19FF00-> 19FEFC                              | 0019FEFC: 401157-> 19FF1C         | stdio.h:644
051 | 00401071 | 8BEC                     | mov ebp,esp                             | ebp: 19FF1C-> 19FEFC                              |                                   |
052 | 00401073 | 8B45 14                  | mov eax,dword ptr ss:[ebp+14]           | eax: 77190328-> 19FF28                            | 0019FF10: 19FF28-> 19FF28         | stdio.h:645, [ebp+14]:__scrt_common_main_seh+FA
053 | 00401076 | 50                       | push eax                                | esp: 19FEFC-> 19FEF8                              | 0019FEF8: 19FF1C-> 19FF28         | eax:&"\n\n"
054 | 00401077 | 8B4D 10                  | mov ecx,dword ptr ss:[ebp+10]           | ecx: 19FF28-> 0                                   | 0019FF0C: 0-> 0                   |
055 | 0040107A | 51                       | push ecx                                | esp: 19FEF8-> 19FEF4                              | 0019FEF4: 19FF28-> 0              | ecx:&"444"
056 | 0040107B | 8B55 0C                  | mov edx,dword ptr ss:[ebp+C]            |                                                   | 0019FF08: 402104-> 402104         | [ebp+0C]:"444"
057 | 0040107E | 52                       | push edx                                | esp: 19FEF4-> 19FEF0                              | 0019FEF0: 0-> 402104              | edx:"%s"
058 | 0040107F | 8B45 08                  | mov eax,dword ptr ss:[ebp+8]            | eax: 19FF28-> 77190328                            | 0019FF04: 77190328-> 77190328     | [ebp+08]:"%s"
059 | 00401082 | 50                       | push eax                                | esp: 19FEF0-> 19FEEC                              | 0019FEEC: 402104-> 77190328       | eax:&"\n\n"
05A | 00401083 | E8 C8FFFFFF              | call <sample.vmp.___local_stdio_printf_ | esp: 19FEEC-> 19FEE8                              | 0019FEE8: 77190328-> 401088       |
05B | 00401050 | 55                       | push ebp                                | esp: 19FEE8-> 19FEE4                              | 0019FEE4: 401088-> 19FEFC         | corecrt_stdio_config.h:90
05C | 00401051 | 8BEC                     | mov ebp,esp                             | ebp: 19FEFC-> 19FEE4                              |                                   |
05D | 00401053 | B8 D8344000              | mov eax,<sample.vmp.unsigned __int64 `e | eax: 77190328-> 4034D8                            |                                   | corecrt_stdio_config.h:92, eax:&"\n\n"
05E | 00401058 | 5D                       | pop ebp                                 | esp: 19FEE4-> 19FEE8 ebp: 19FEE4-> 19FEFC         | 0019FEE4: 19FEFC-> 19FEFC         | corecrt_stdio_config.h:93
05F | 00401059 | C3                       | ret                                     | esp: 19FEE8-> 19FEEC                              | 0019FEE8: 401088-> 401088         |
060 | 00401088 | 8B48 04                  | mov ecx,dword ptr ds:[eax+4]            |                                                   | 004034DC: 0-> 0                   | ecx:&"444", [eax+04]:"444\n\n"
061 | 0040108B | 51                       | push ecx                                | esp: 19FEEC-> 19FEE8                              | 0019FEE8: 77190328-> 0            | ecx:&"444"
062 | 0040108C | 8B10                     | mov edx,dword ptr ds:[eax]              | edx: 402104-> 24                                  | 004034D8: 24-> 24                 | edx:"%s", [eax]:"\n\n"
